id,nombre,tipo,fortaleza,debilidad
1,Ktronix,Retail tecnologia,Marca reconocida,Precios altos en algunos productos
2,Alkosto,Retail masivo,Gran alcance nacional,Experiencia poco especializada
3,Mercado Libre,Marketplace,Variedad y envios,Confianza depende del vendedor
4,Falabella Tecnologia,Retail,Financiacion y marca,Catalogo mezclado con otras categorias
5,Exito Tecnologia,Retail masivo,Cobertura nacional,Menor especializacion tecnologica
6,Compudemano,Especialista Apple,Confianza en Apple,Menor variedad en otras marcas
7,Tauret Computadores,Gaming y hardware,Especializacion gamer,Menor enfoque en smartphones
8,Panamericana Tecnologia,Retail,Reconocimiento,Menor profundidad tecnica
9,Linio,Marketplace,Promociones frecuentes,Menor posicionamiento actual
10,Tiendas oficiales de marca,Venta directa,Garantia directa,Poca comparacion entre marcas

